standort_name,standort,dealer_vehicle_number,kom_nr,jahreswagenkz,vfw_status,kennzeichen,vin,marke,modell,ez,km,antriebsart,versteuerung_hinweis,listenpreis_netto,empf_vk_preis,modell_netto_preis,upe_brutto,upe_quelle,geldwert_vorteil_monat,eingang,abmeldung,verkauft_am
Deggendorf Opel,1,115070,G,L,Kom.Nr. G,DEG-NH 111,W0V0XEP68J4317816,Opel,"Corsa ON, 5-Türer 1.4, 66 kW",2018-10-31,33010,Benzin (allgemein),1 %,0.00,0.00,0.00,9341.0,"Grund+Zubehör×1,19",93.41,2021-11-22,,2022-04-19
Deggendorf Opel,1,115071,G,L,Kom.Nr. G,PA-ID 70,W0VBF6EB3JG110091,Opel,ASTRA 5T DYNAM 1.4(92KW)6G,2018-06-25,83616,Benzin (allgemein),1 %,0.00,0.00,0.00,12247.5,"Grund+Zubehör×1,19",122.48,2021-11-23,,2022-02-04
Deggendorf Opel,1,110088,V,,Kom.Nr. V,DEGG1137,VXKUHZKXZM4350629,Opel,CORSA 5T E-GSL ELEKTRO (100K,2021-12-22,13000,Elektro,"0,5 % / 0,25 % (E/Hybrid)",0.00,0.00,0.00,30784.84,"Grund+Zubehör×1,19",153.92,2021-11-25,,2022-07-01
Deggendorf Opel,1,110126,V,,Kom.Nr. V,DEG-F 154E,VXKUKZKXZMW085258,Opel,MOKKA-E ELEGAN ELEKTRO (100K,2022-01-07,17336,,"0,5 % / 0,25 % (E/Hybrid)",0.00,40215.00,0.00,40215.0,empf.VK,201.08,2021-12-01,,2023-03-16
Deggendorf Opel,1,210044,V,,Kom.Nr. V,FRG-D 2014,W0V7D9EB9M4357571,Opel,CROSSLAND GS LINE 1.2 (96kW),2022-04-25,27719,,1 %,0.00,27885.00,0.00,27885.0,empf.VK,278.85,2021-12-10,,2022-08-09
Deggendorf Opel,1,210188,V,,Kom.Nr. V,DEG-SC 3,VXKUPHNEKM4367671,Opel,CORSA 5T EDI 1.2(74KW)6G SS,2022-01-27,25666,,1 %,0.00,21125.00,0.00,21125.0,empf.VK,211.25,2021-12-10,,2022-03-29
Deggendorf Opel,1,210197,V,,Kom.Nr. V,DEG-KM 182,VXKUPHNEKM4367679,Opel,CORSA 5T GS LI 1.2(74KW)6G S,2022-01-27,32891,Super bleifrei,1 %,0.00,23350.00,18462.18,23350.0,empf.VK,233.5,2021-12-10,,2022-05-09
Deggendorf Opel,1,110204,V,,Kom.Nr. V,WUG-G 131 E,VXKUKZKXZMW096278,Opel,MOKKA-E ELEGAN ELEKTRO (100K,2022-01-18,1128,,"0,5 % / 0,25 % (E/Hybrid)",0.00,39585.00,31344.54,39585.0,empf.VK,197.93,2021-12-14,,2022-07-25
Deggendorf Opel,1,210198,V,,Kom.Nr. V,DEG-VJ 102,VXKUPHNEKM4368279,Opel,CORSA 5T GS LI 1.2(74KW)6G S,2022-01-20,45420,Super bleifrei,1 %,0.00,23545.00,18462.18,23545.0,empf.VK,235.45,2021-12-16,,2022-04-26
Deggendorf Opel,1,115068,G,,Kom.Nr. G,REG-Q 181,W0VDD6E73JC414765,Opel,"KARL Edition 1.0, 55 kW (75 PS) (5-Gang-Easytronic-3.0-Get",2017-12-07,50000,,1 %,0.00,0.00,0.00,6138.7,"Grund+Zubehör×1,19",61.39,2021-12-17,,2021-12-17
